,,,,,,Sc,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Y,Ho,Er,Tm,Yb,Lu,,Total REE,Critical,Uncritical,Excessive,PctCrit
Sample,Plant,Unit,Type,Row,Basin,mg kg-1  ,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,mg kg-1,,mg kg-1,mg kg-1,mg kg-1,mg kg-1,%
SRM 1633c,,,,,,37.60,87.00,180.00,,87.00,19.00,4.67,,3.12,18.70,,,,,7.70,1.32,,,,,,
HF SRM 1,,,,,,38.10,78.86,177.31,20.49,86.06,19.33,4.21,20.30,2.97,16.58,98.61,3.38,9.27,1.28,7.82,1.17,,586,218,139,191,39.8
HF SRM 2,,,,,,37.73,84.35,188.06,21.91,86.99,19.39,4.51,20.52,3.12,17.95,103.03,3.56,9.87,1.37,8.29,1.23,,612,225,146,203,39.3
HF SRM 3,,,,,,37.82,82.12,179.83,21.11,83.63,18.81,4.44,19.92,3.03,17.23,100.85,3.41,9.53,1.31,8.00,1.19,,592,219,142,194,39.5
HF SRM 4,,,,,,35.40,84.96,191.04,22.13,87.41,20.04,4.54,20.84,3.18,17.95,104.62,3.55,9.90,1.35,8.39,1.21,,617,228,148,206,39.2
HF SRM 5,,,,,,34.83,78.51,179.92,21.21,84.29,18.88,4.34,20.04,3.06,17.34,94.61,3.44,9.41,1.29,7.95,1.19,,580,213,139,194,39.1
HF SRM 6.1,,,,,,34.00,73.46,170.97,19.71,79.31,18.00,4.19,18.66,2.87,16.26,89.54,3.25,8.97,1.23,7.65,1.15,,549,201,130,184,39.0
HF SRM 6.2,,,,,,35.13,74.06,172.49,20.00,78.90,17.82,4.11,18.56,2.86,16.29,93.74,3.29,8.95,1.22,7.60,1.12,,556,205,130,186,39.3
HF SRM 7,,,,,,36.60,76.17,171.10,20.64,85.90,18.71,4.38,21.76,3.05,16.45,92.25,3.31,8.93,1.28,7.60,1.16,,569,211,137,184,39.6
HF SRM 8,,,,,,35.07,74.11,167.21,20.31,84.46,18.56,4.36,21.72,2.92,16.29,90.68,3.23,8.84,1.25,7.56,1.17,,558,208,135,180,39.7
HF SRM 9,,,,,,36.40,76.80,179.70,20.70,81.96,18.51,4.39,20.04,3.06,16.82,94.13,3.33,9.48,1.28,7.98,1.19,,576,210,136,193,38.9
92277,W,,FA,,App,42.93,117.85,266.25,28.92,113.22,23.44,4.19,27.05,3.90,22.36,123.91,4.63,12.94,1.84,11.42,1.70,,807,281,197,286,36.7
92278,W,,BA,,App,38.34,109.28,246.73,26.77,104.52,21.76,3.96,24.08,3.46,19.39,106.48,3.93,10.93,1.60,9.73,1.50,,732,249,182,263,35.8
93171-1,H,3,ESP,1,App,28.27,79.84,163.21,18.61,69.53,14.70,2.83,14.35,2.21,12.91,80.52,2.59,7.31,1.04,6.43,0.96,,505,175,128,174,36.8
93171-2,H,3,ESP,1,App,29.38,81.61,165.50,18.72,70.34,14.85,2.86,14.66,2.26,13.22,82.64,2.66,7.59,1.05,6.69,0.97,,515,179,130,177,36.8
93171-3,H,3,ESP,1,App,29.43,83.20,170.55,19.32,72.12,15.27,2.89,15.02,2.32,13.54,86.00,2.77,7.95,1.10,6.92,1.02,,529,185,133,182,37.0
93171 Avg.,H,3,ESP,1,App,29.03,81.55,166.42,18.88,70.66,14.94,2.86,14.68,2.26,13.23,83.05,2.68,7.62,1.06,6.68,0.98,,517,180,130,178,36.9
93171 Std. Dev.,H,3,ESP,1,App,0.66,1.68,3.75,0.38,1.33,0.29,0.03,0.34,0.05,0.31,2.77,0.09,0.32,0.03,0.25,0.03,,12,5,3,4,0.1
93172,H,3,ESP,1,App,34.38,91.20,188.16,21.49,80.63,17.50,3.41,17.49,2.71,16.14,102.95,3.28,9.28,1.31,8.14,1.23,,599,215,148,202,38.1
93174,H,3,ESP,2,App,31.64,75.38,155.27,17.79,66.95,14.54,2.99,14.75,2.34,13.83,88.49,2.81,7.97,1.12,7.11,1.06,,504,183,122,167,38.6
93176,H,3,ESP,3,App,36.24,86.00,177.53,20.23,76.29,16.72,3.33,16.84,2.68,15.76,102.76,3.23,9.18,1.30,8.18,1.19,,577,210,140,191,38.8
93259,EK,"1,4",ESP,1,App,28.75,54.91,117.56,14.17,54.92,12.66,2.77,13.74,2.21,13.79,81.96,2.70,7.81,1.11,6.35,0.97,,416,163,95,129,42.2
93260,EK,"1,4",ESP,2,App,25.09,44.17,94.88,11.21,43.71,9.93,2.21,10.51,1.70,10.10,64.51,2.11,5.84,0.79,4.88,0.73,,332,128,76,103,41.7
93261,EK,"1,4",ESP,3,App,38.59,67.25,152.79,17.28,66.78,14.77,3.32,15.17,2.40,14.19,87.43,2.94,8.16,1.11,6.91,0.99,,500,182,114,165,39.5
93283,H,1,ESP,1,App,34.73,75.15,163.99,18.40,69.81,14.96,3.37,14.99,2.41,14.16,82.09,2.90,8.18,1.15,7.16,1.07,,515,180,123,176,37.5
93284,H,1,ESP,1,App,35.37,73.46,160.14,17.98,68.65,14.79,3.34,14.89,2.35,14.08,81.61,2.88,8.12,1.16,7.18,1.09,,507,178,121,172,37.8
93285,H,1,ESP,2,App,35.16,65.15,143.15,16.10,61.28,13.61,2.99,13.62,2.15,12.67,73.36,2.58,7.22,1.03,6.41,0.96,,457,160,108,154,37.8
93286,H,1,ESP,2,App,36.56,69.79,153.94,17.31,66.10,14.58,3.27,14.68,2.33,13.80,82.10,2.87,8.08,1.14,7.03,1.05,,495,176,116,166,38.4
93289,H,2,ESP,1,App,35.38,78.90,171.01,19.25,73.35,16.38,3.56,16.54,2.66,15.70,89.91,3.18,8.95,1.27,7.96,1.16,,545,194,131,185,38.1
93290,H,2,ESP,1,App,37.70,77.01,166.86,18.68,71.51,15.53,3.41,16.00,2.56,15.27,86.38,3.04,8.56,1.21,7.68,1.12,,533,188,127,180,37.9
93291,H,2,ESP,2,App,35.83,68.60,150.03,16.89,64.85,14.30,3.17,14.16,2.29,13.37,79.02,2.76,7.80,1.11,6.91,1.02,,482,171,114,162,38.2
93292,H,2,ESP,2,App,36.41,72.83,160.34,17.96,68.71,15.13,3.44,15.37,2.49,14.62,85.03,3.00,8.50,1.19,7.42,1.12,,514,183,121,173,38.3
93342,C,3,ESP,1,App,34.25,88.95,186.24,21.17,80.03,16.89,3.44,16.75,2.63,15.24,86.12,3.07,8.55,1.21,7.56,1.13,,573,196,144,199,36.4
93375,I,1,ESP,1,App,46.00,86.98,189.10,21.58,83.36,18.60,4.07,19.29,3.06,18.22,103.82,3.68,10.51,1.49,9.24,1.38,,620,223,146,205,38.8
93376,I,1,ESP,2,App,46.56,79.89,173.25,20.11,78.84,17.94,3.86,18.18,2.87,17.12,100.28,3.51,10.07,1.41,8.89,1.34,,584,213,136,188,39.6
93377,I,1,ESP,3,App,49.77,79.23,172.46,19.97,77.52,16.99,3.80,17.16,2.80,16.48,95.62,3.41,9.59,1.39,8.45,1.26,,576,206,133,187,39.1
93382,I,2,ESP,1,App,38.48,82.21,174.91,20.10,76.97,16.28,3.50,16.22,2.48,14.53,82.31,2.91,8.25,1.17,7.27,1.11,,549,188,135,187,36.9
93383,I,2,ESP,1,App,37.14,81.99,176.00,20.03,76.65,16.28,3.44,16.36,2.55,14.73,83.66,2.97,8.43,1.19,7.53,1.15,,550,189,135,189,36.9
93384,I,2,ESP,2,App,39.10,77.52,166.50,19.20,74.15,16.00,3.46,15.86,2.51,14.30,82.80,2.96,8.41,1.20,7.58,1.11,,533,186,129,179,37.6
93385,I,2,ESP,2,App,39.41,76.14,164.34,18.90,73.07,16.03,3.44,15.87,2.51,14.52,85.06,3.00,8.59,1.19,7.62,1.14,,531,187,127,177,38.1
93386,I,2,ESP,3,App,43.92,77.23,168.50,19.41,74.93,16.25,3.59,16.58,2.61,15.28,90.95,3.18,9.02,1.27,7.87,1.19,,552,196,129,182,38.7
93387-1,I,2,ESP,3,App,39.39,83.06,182.50,20.88,80.95,17.79,3.88,17.87,2.83,16.65,98.69,3.41,9.85,1.39,8.60,1.29,,589,213,140,197,38.7
93387-2,I,2,ESP,3,App,43.07,77.97,172.19,19.76,76.85,16.86,3.69,17.05,2.68,15.76,92.79,3.27,9.26,1.29,8.09,1.25,,562,201,132,186,38.8
93387-3,I,2,ESP,3,App,44.67,82.69,182.72,20.90,81.10,17.87,3.91,18.27,2.87,16.87,99.20,3.52,9.88,1.40,8.74,1.32,,596,214,140,198,38.8
93387 Avg.,I,2,ESP,3,App,42.38,81.24,179.14,20.52,79.63,17.51,3.83,17.73,2.79,16.43,96.90,3.40,9.66,1.36,8.47,1.29,,582,209,137,194,38.8
93387 Std. Dev.,I,2,ESP,3,App,2.71,2.83,6.02,0.65,2.41,0.56,0.12,0.62,0.10,0.59,3.56,0.13,0.35,0.06,0.34,0.03,,18,7,5,7,0.0
93394-1,D,1,ESP,1,App,36.27,90.72,191.42,21.50,82.08,17.76,3.67,17.31,2.71,16.22,92.20,3.23,9.07,1.32,8.00,1.20,,595,206,147,205,36.9
93394-2,D,1,ESP,1,App,37.43,92.71,195.00,22.18,83.20,17.74,3.70,17.68,2.86,16.31,94.29,3.34,9.35,1.31,8.23,1.23,,607,210,150,209,36.8
93394-3,D,1,ESP,1,App,38.16,89.94,191.08,21.45,81.40,17.40,3.66,17.56,2.74,15.77,92.45,3.22,9.11,1.30,9.25,1.20,,596,205,146,206,36.8
93394 Avg.,D,1,ESP,1,App,37.29,91.13,192.50,21.71,82.23,17.63,3.68,17.52,2.77,16.10,92.98,3.26,9.18,1.31,8.49,1.21,,599,207,148,207,36.8
93394 Std. Dev.,D,1,ESP,1,App,0.95,1.43,2.17,0.41,0.91,0.20,0.02,0.19,0.08,0.29,1.14,0.07,0.15,0.01,0.67,0.01,,7,2,2,2,0.0
93395-1,D,2,ESP,1,App,36.04,88.52,190.65,21.71,82.27,17.62,3.45,16.95,2.79,15.92,94.07,3.25,9.41,1.32,8.28,1.22,,593,208,145,205,37.3
93395-2,D,2,ESP,1,App,35.06,88.71,192.27,21.66,81.94,17.58,3.37,17.10,2.73,16.15,94.98,3.30,9.36,1.29,8.23,1.23,,595,209,145,206,37.2
93395-3,D,2,ESP,1,App,34.23,88.87,191.76,21.59,81.73,17.50,3.40,17.29,2.74,15.95,95.71,3.29,9.34,1.33,8.30,1.24,,594,209,145,206,37.3
93395 Avg.,D,2,ESP,1,App,35.11,88.70,191.56,21.65,81.98,17.57,3.41,17.11,2.75,16.01,94.92,3.28,9.37,1.31,8.27,1.23,,594,208,145,206,37.3
